train_number,date, total_available
9001,11/1/2023,274
9002,11/1/2023,454
9021,11/1/2023,265
9022,11/1/2023,118
9051,11/1/2023,382
9221,11/1/2023,95
9222,11/1/2023,164
9405,11/1/2023,68
9406,11/1/2023,71
9561,11/1/2023,349
9562,11/1/2023,137
9621,11/1/2023,9
9622,11/1/2023,224
9715,11/1/2023,165
9716,11/1/2023,92
9721,11/1/2023,347
9722,11/1/2023,175
9723,11/1/2023,249
9724,11/1/2023,141
9727,11/1/2023,272
9728,11/1/2023,188
9733,11/1/2023,151
9734,11/1/2023,92
9735,11/1/2023,100
9736,11/1/2023,31
9741,11/1/2023,6
9742,11/1/2023,246
9761,11/1/2023,166
9762,11/1/2023,96
9763,11/1/2023,290
9764,11/1/2023,22
9765,11/1/2023,168
9766,11/1/2023,446
10001,11/1/2023,157
10002,11/1/2023,4
10103,11/1/2023,347
10104,11/1/2023,35
10111,11/1/2023,131
10112,11/1/2023,28
10215,11/1/2023,119
10216,11/1/2023,12
11003,11/1/2023,274
11004,11/1/2023,28
11007,11/1/2023,123
11008,11/1/2023,99
11009,11/1/2023,219
11010,11/1/2023,152
11011,11/1/2023,326
11012,11/1/2023,17
11013,11/1/2023,245
11014,11/1/2023,98
11015,11/1/2023,123
11016,11/1/2023,173
11017,11/1/2023,127
11018,11/1/2023,211
11019,11/1/2023,13
11020,11/1/2023,250
11023,11/1/2023,142
11024,11/1/2023,329
11025,11/1/2023,93
11026,11/1/2023,252
11027,11/1/2023,319
11028,11/1/2023,124
11029,11/1/2023,354
11030,11/1/2023,438
11033,11/1/2023,57
11034,11/1/2023,59
11035,11/1/2023,304
11036,11/1/2023,250
11037,11/1/2023,191
11038,11/1/2023,169
11039,11/1/2023,190
11040,11/1/2023,308
11041,11/1/2023,334
11042,11/1/2023,144
11043,11/1/2023,359
11044,11/1/2023,36
11045,11/1/2023,431
11046,11/1/2023,45
11047,11/1/2023,178
11048,11/1/2023,62
11049,11/1/2023,45
11050,11/1/2023,60
11051,11/1/2023,356
11052,11/1/2023,381
11055,11/1/2023,214
11056,11/1/2023,246
11057,11/1/2023,286
11058,11/1/2023,23
11059,11/1/2023,55
11060,11/1/2023,345
11061,11/1/2023,199
11062,11/1/2023,398
11063,11/1/2023,141
11064,11/1/2023,413
11065,11/1/2023,84
11066,11/1/2023,200
11067,11/1/2023,416
11068,11/1/2023,34
11069,11/1/2023,367
11070,11/1/2023,142
11071,11/1/2023,46
11072,11/1/2023,296
11077,11/1/2023,258
11078,11/1/2023,125
11087,11/1/2023,340
11088,11/1/2023,225
11089,11/1/2023,138
11090,11/1/2023,196
11091,11/1/2023,400
11092,11/1/2023,76
11093,11/1/2023,286
11094,11/1/2023,472
11095,11/1/2023,342
11096,11/1/2023,129
11097,11/1/2023,10
11098,11/1/2023,347
11105,11/1/2023,260
11106,11/1/2023,3
11107,11/1/2023,216
11108,11/1/2023,228
11109,11/1/2023,124
11110,11/1/2023,151
11123,11/1/2023,65
11124,11/1/2023,16
11125,11/1/2023,344
11126,11/1/2023,250
11265,11/1/2023,16
11266,11/1/2023,59
11271,11/1/2023,237
11272,11/1/2023,136
11401,11/1/2023,226
11402,11/1/2023,367
11403,11/1/2023,289
11404,11/1/2023,250
11423,11/1/2023,173
11424,11/1/2023,34
11447,11/1/2023,167
11448,11/1/2023,333
11449,11/1/2023,114
11450,11/1/2023,42
11451,11/1/2023,3
11452,11/1/2023,173
11453,11/1/2023,23
11454,11/1/2023,310
11463,11/1/2023,157
11464,11/1/2023,35
11465,11/1/2023,423
11466,11/1/2023,39
11471,11/1/2023,12
11472,11/1/2023,314
11701,11/1/2023,347
11702,11/1/2023,161
12001,11/1/2023,219
12002,11/1/2023,132
12003,11/1/2023,76
12004,11/1/2023,408
12005,11/1/2023,357
12006,11/1/2023,52
12007,11/1/2023,22
12008,11/1/2023,342
12009,11/1/2023,272
12010,11/1/2023,426
12011,11/1/2023,10
12012,11/1/2023,73
12013,11/1/2023,81
12014,11/1/2023,400
12015,11/1/2023,66
12016,11/1/2023,103
12017,11/1/2023,242
12018,11/1/2023,198
12019,11/1/2023,301
12020,11/1/2023,204
12021,11/1/2023,88
12022,11/1/2023,8
12023,11/1/2023,79
12024,11/1/2023,14
12025,11/1/2023,1
12026,11/1/2023,352
12027,11/1/2023,15
12028,11/1/2023,346
12029,11/1/2023,93
12030,11/1/2023,50
12031,11/1/2023,219
12032,11/1/2023,52
12033,11/1/2023,86
12034,11/1/2023,317
12037,11/1/2023,262
12038,11/1/2023,185
12051,11/1/2023,229
12052,11/1/2023,182
12053,11/1/2023,312
12054,11/1/2023,266
12055,11/1/2023,41
12056,11/1/2023,242
12057,11/1/2023,342
12058,11/1/2023,74
12059,11/1/2023,334
12060,11/1/2023,353
12061,11/1/2023,340
12062,11/1/2023,406
12063,11/1/2023,61
12064,11/1/2023,251
12067,11/1/2023,290
12068,11/1/2023,100
12069,11/1/2023,223
12070,11/1/2023,130
12071,11/1/2023,250
12072,11/1/2023,4
12073,11/1/2023,6
12074,11/1/2023,282
12075,11/1/2023,14
12076,11/1/2023,26
12077,11/1/2023,78
12078,11/1/2023,181
12079,11/1/2023,194
12080,11/1/2023,260
12081,11/1/2023,110
12082,11/1/2023,220
12083,11/1/2023,402
12084,11/1/2023,273
12101,11/1/2023,302
12102,11/1/2023,110
12103,11/1/2023,319
12104,11/1/2023,175
12105,11/1/2023,277
12106,11/1/2023,94
12107,11/1/2023,154
12108,11/1/2023,70
12109,11/1/2023,294
12110,11/1/2023,197
12111,11/1/2023,1
12112,11/1/2023,255
12113,11/1/2023,104
12114,11/1/2023,245
12115,11/1/2023,2
12116,11/1/2023,227
12117,11/1/2023,125
12118,11/1/2023,164
12119,11/1/2023,305
12120,11/1/2023,365
12121,11/1/2023,209
12122,11/1/2023,38
12123,11/1/2023,274
12124,11/1/2023,192
12125,11/1/2023,103
12126,11/1/2023,12
12127,11/1/2023,258
12128,11/1/2023,402
12129,11/1/2023,251
12130,11/1/2023,248
12131,11/1/2023,83
12132,11/1/2023,48
12133,11/1/2023,261
12134,11/1/2023,280
12135,11/1/2023,82
12136,11/1/2023,138
12137,11/1/2023,60
12138,11/1/2023,123
12139,11/1/2023,93
12140,11/1/2023,23
12141,11/1/2023,197
12142,11/1/2023,284
12143,11/1/2023,21
12144,11/1/2023,351
12145,11/1/2023,220
12146,11/1/2023,183
12147,11/1/2023,157
12148,11/1/2023,383
12149,11/1/2023,348
12150,11/1/2023,200
12151,11/1/2023,284
12152,11/1/2023,40
12153,11/1/2023,268
12154,11/1/2023,77
12155,11/1/2023,71
12156,11/1/2023,318
12157,11/1/2023,13
12158,11/1/2023,244
12159,11/1/2023,99
12160,11/1/2023,198
12161,11/1/2023,333
12162,11/1/2023,315
12163,11/1/2023,292
12164,11/1/2023,30
12165,11/1/2023,100
12166,11/1/2023,100
12167,11/1/2023,227
12168,11/1/2023,109
12169,11/1/2023,156
12170,11/1/2023,238
12171,11/1/2023,330
12172,11/1/2023,188
12173,11/1/2023,202
12174,11/1/2023,110
12175,11/1/2023,367
12176,11/1/2023,324
12177,11/1/2023,249
12178,11/1/2023,15
12179,11/1/2023,98
12180,11/1/2023,365
12181,11/1/2023,45
12182,11/1/2023,144
12183,11/1/2023,98
12184,11/1/2023,88
12185,11/1/2023,44
12186,11/1/2023,181
12187,11/1/2023,234
12188,11/1/2023,56
12189,11/1/2023,234
12190,11/1/2023,89
12191,11/1/2023,302
12192,11/1/2023,280
12193,11/1/2023,2
12194,11/1/2023,265
12195,11/1/2023,64
12196,11/1/2023,261
12197,11/1/2023,131
12198,11/1/2023,91
12201,11/1/2023,443
12202,11/1/2023,75
12203,11/1/2023,294
12204,11/1/2023,223
12205,11/1/2023,99
12206,11/1/2023,72
12207,11/1/2023,231
12208,11/1/2023,51
12209,11/1/2023,165
12210,11/1/2023,43
12211,11/1/2023,178
12212,11/1/2023,293
12213,11/1/2023,68
12214,11/1/2023,205
12215,11/1/2023,280
12216,11/1/2023,351
12217,11/1/2023,370
12218,11/1/2023,291
12219,11/1/2023,285
12220,11/1/2023,313
12221,11/1/2023,411
12222,11/1/2023,8
12223,11/1/2023,161
12224,11/1/2023,349
12225,11/1/2023,322
12226,11/1/2023,162
12227,11/1/2023,45
12228,11/1/2023,42
12229,11/1/2023,16
12230,11/1/2023,292
12231,11/1/2023,24
12232,11/1/2023,151
12233,11/1/2023,264
12234,11/1/2023,308
12235,11/1/2023,422
12236,11/1/2023,4
12237,11/1/2023,179
12238,11/1/2023,314
12239,11/1/2023,316
12240,11/1/2023,149
12241,11/1/2023,218
12242,11/1/2023,151
12243,11/1/2023,161
12244,11/1/2023,267
12245,11/1/2023,324
12246,11/1/2023,329
12251,11/1/2023,1
12252,11/1/2023,456
12253,11/1/2023,190
12254,11/1/2023,194
12257,11/1/2023,257
12258,11/1/2023,200
12259,11/1/2023,117
12260,11/1/2023,157
12261,11/1/2023,277
12262,11/1/2023,371
12263,11/1/2023,253
12264,11/1/2023,46
12265,11/1/2023,33
12266,11/1/2023,143
12267,11/1/2023,215
12268,11/1/2023,2
12269,11/1/2023,196
12270,11/1/2023,360
12271,11/1/2023,121
12272,11/1/2023,179
12273,11/1/2023,157
12274,11/1/2023,261
12275,11/1/2023,71
12276,11/1/2023,88
12277,11/1/2023,174
12278,11/1/2023,133
12279,11/1/2023,209
12280,11/1/2023,105
12281,11/1/2023,228
12282,11/1/2023,467
12283,11/1/2023,213
12284,11/1/2023,195
12285,11/1/2023,9
12286,11/1/2023,196
12287,11/1/2023,371
12288,11/1/2023,197
12289,11/1/2023,153
12290,11/1/2023,172
12291,11/1/2023,263
12292,11/1/2023,223
12295,11/1/2023,211
12296,11/1/2023,308
12301,11/1/2023,235
12302,11/1/2023,97
12303,11/1/2023,175
12304,11/1/2023,39
12305,11/1/2023,282
12306,11/1/2023,380
12307,11/1/2023,177
12308,11/1/2023,282
12309,11/1/2023,64
12310,11/1/2023,401
12311,11/1/2023,105
12312,11/1/2023,128
12313,11/1/2023,26
12314,11/1/2023,405
12315,11/1/2023,193
12316,11/1/2023,111
12317,11/1/2023,269
12318,11/1/2023,98
12319,11/1/2023,448
12320,11/1/2023,103
12321,11/1/2023,164
12322,11/1/2023,219
12323,11/1/2023,285
12324,11/1/2023,118
12325,11/1/2023,50
12326,11/1/2023,26
12327,11/1/2023,361
12328,11/1/2023,173
12329,11/1/2023,431
12330,11/1/2023,32
12331,11/1/2023,284
12332,11/1/2023,302
12333,11/1/2023,179
12334,11/1/2023,266
12335,11/1/2023,162
12336,11/1/2023,108
12337,11/1/2023,183
12338,11/1/2023,132
12339,11/1/2023,199
12340,11/1/2023,17
12341,11/1/2023,211
12342,11/1/2023,328
12343,11/1/2023,311
12344,11/1/2023,247
12345,11/1/2023,95
12346,11/1/2023,286
12347,11/1/2023,54
12348,11/1/2023,53
12349,11/1/2023,119
12350,11/1/2023,296
12351,11/1/2023,264
12352,11/1/2023,26
12355,11/1/2023,105
12356,11/1/2023,338
12357,11/1/2023,172
12358,11/1/2023,226
12359,11/1/2023,223
12360,11/1/2023,175
12361,11/1/2023,21
12362,11/1/2023,18
12363,11/1/2023,142
12364,11/1/2023,208
12365,11/1/2023,67
12366,11/1/2023,265
12367,11/1/2023,3
12368,11/1/2023,171
12369,11/1/2023,199
12370,11/1/2023,170
12373,11/1/2023,221
12374,11/1/2023,247
12377,11/1/2023,380
12378,11/1/2023,269
12379,11/1/2023,76
12380,11/1/2023,267
12381,11/1/2023,322
12382,11/1/2023,49
12383,11/1/2023,66
12384,11/1/2023,135
12389,11/1/2023,183
12390,11/1/2023,116
12391,11/1/2023,196
12392,11/1/2023,87
12393,11/1/2023,240
12394,11/1/2023,374
12395,11/1/2023,222
12396,11/1/2023,320
12397,11/1/2023,67
12398,11/1/2023,285
12401,11/1/2023,10
12402,11/1/2023,291
12403,11/1/2023,133
12404,11/1/2023,218
12405,11/1/2023,305
12406,11/1/2023,312
12407,11/1/2023,132
12408,11/1/2023,178
12409,11/1/2023,336
12410,11/1/2023,258
12411,11/1/2023,320
12412,11/1/2023,9
12413,11/1/2023,21
12414,11/1/2023,211
12415,11/1/2023,228
12416,11/1/2023,290
12417,11/1/2023,322
12418,11/1/2023,441
12419,11/1/2023,217
12420,11/1/2023,338
12423,11/1/2023,369
12424,11/1/2023,206
12425,11/1/2023,308
12426,11/1/2023,131
12427,11/1/2023,347
12428,11/1/2023,18
12429,11/1/2023,380
12430,11/1/2023,248
12431,11/1/2023,339
12432,11/1/2023,281
12433,11/1/2023,314
12434,11/1/2023,38
12435,11/1/2023,356
12436,11/1/2023,217
12437,11/1/2023,66
12438,11/1/2023,162
12439,11/1/2023,65
12440,11/1/2023,432
12441,11/1/2023,212
12442,11/1/2023,169
12445,11/1/2023,111
12446,11/1/2023,157
12447,11/1/2023,299
12448,11/1/2023,379
12449,11/1/2023,22
12450,11/1/2023,199
12451,11/1/2023,123
12452,11/1/2023,417
12453,11/1/2023,104
12454,11/1/2023,42
12455,11/1/2023,498
12456,11/1/2023,422
12457,11/1/2023,449
12458,11/1/2023,228
12459,11/1/2023,278
12460,11/1/2023,197
12461,11/1/2023,63
12462,11/1/2023,38
12463,11/1/2023,280
12464,11/1/2023,371
12465,11/1/2023,196
12466,11/1/2023,6
12467,11/1/2023,352
12468,11/1/2023,20
12469,11/1/2023,49
12470,11/1/2023,85
12471,11/1/2023,246
12472,11/1/2023,127
12473,11/1/2023,55
12474,11/1/2023,411
12475,11/1/2023,4
12476,11/1/2023,205
12477,11/1/2023,294
12478,11/1/2023,225
12479,11/1/2023,210
12480,11/1/2023,237
12481,11/1/2023,2
12482,11/1/2023,83
12483,11/1/2023,42
12484,11/1/2023,249
12485,11/1/2023,43
12486,11/1/2023,16
12487,11/1/2023,301
12488,11/1/2023,425
12489,11/1/2023,312
12490,11/1/2023,21
12491,11/1/2023,104
12492,11/1/2023,137
12493,11/1/2023,424
12494,11/1/2023,181
12495,11/1/2023,163
12496,11/1/2023,142
12497,11/1/2023,144
12498,11/1/2023,217
12501,11/1/2023,287
12502,11/1/2023,112
12505,11/1/2023,217
12506,11/1/2023,153
12507,11/1/2023,134
12508,11/1/2023,205
12509,11/1/2023,29
12510,11/1/2023,275
12511,11/1/2023,71
12512,11/1/2023,227
12513,11/1/2023,184
12514,11/1/2023,345
12515,11/1/2023,103
12516,11/1/2023,353
12517,11/1/2023,175
12518,11/1/2023,32
12519,11/1/2023,60
12520,11/1/2023,156
12521,11/1/2023,7
12522,11/1/2023,46
12523,11/1/2023,306
12524,11/1/2023,275
12525,11/1/2023,30
12526,11/1/2023,65
12527,11/1/2023,151
12528,11/1/2023,380
12529,11/1/2023,43
12530,11/1/2023,107
12531,11/1/2023,26
12532,11/1/2023,46
12533,11/1/2023,176
12534,11/1/2023,174
12535,11/1/2023,14
12536,11/1/2023,356
12537,11/1/2023,10
12538,11/1/2023,340
12539,11/1/2023,234
12540,11/1/2023,279
12541,11/1/2023,355
12542,11/1/2023,59
12543,11/1/2023,271
12544,11/1/2023,123
12545,11/1/2023,63
12546,11/1/2023,231
12547,11/1/2023,121
12548,11/1/2023,353
12549,11/1/2023,437
12550,11/1/2023,375
12553,11/1/2023,184
12554,11/1/2023,214
12555,11/1/2023,250
12556,11/1/2023,294
12557,11/1/2023,330
12558,11/1/2023,9
12559,11/1/2023,344
12560,11/1/2023,195
12561,11/1/2023,223
12562,11/1/2023,450
12563,11/1/2023,234
12564,11/1/2023,122
12565,11/1/2023,342
12566,11/1/2023,168
12569,11/1/2023,148
12570,11/1/2023,89
12571,11/1/2023,191
12572,11/1/2023,248
12573,11/1/2023,101
12574,11/1/2023,218
12575,11/1/2023,302
12576,11/1/2023,391
12577,11/1/2023,427
12578,11/1/2023,52
12579,11/1/2023,225
12580,11/1/2023,384
12581,11/1/2023,227
12582,11/1/2023,307
12583,11/1/2023,413
12584,11/1/2023,131
12587,11/1/2023,285
12588,11/1/2023,70
12589,11/1/2023,248
12590,11/1/2023,96
12591,11/1/2023,283
12592,11/1/2023,153
12593,11/1/2023,7
12594,11/1/2023,339
12601,11/1/2023,78
12602,11/1/2023,104
12603,11/1/2023,271
12604,11/1/2023,317
12605,11/1/2023,269
12606,11/1/2023,244
12607,11/1/2023,187
12608,11/1/2023,18
12609,11/1/2023,334
12610,11/1/2023,200
12611,11/1/2023,391
12612,11/1/2023,30
12613,11/1/2023,243
12614,11/1/2023,164
12615,11/1/2023,51
12616,11/1/2023,151
12617,11/1/2023,166
12618,11/1/2023,264
12619,11/1/2023,82
12620,11/1/2023,162
12621,11/1/2023,227
12622,11/1/2023,175
12623,11/1/2023,22
12624,11/1/2023,110
12625,11/1/2023,241
12626,11/1/2023,239
12627,11/1/2023,59
12628,11/1/2023,74
12629,11/1/2023,42
12630,11/1/2023,315
12631,11/1/2023,167
12632,11/1/2023,295
12633,11/1/2023,234
12634,11/1/2023,402
12635,11/1/2023,117
12636,11/1/2023,2
12637,11/1/2023,55
12638,11/1/2023,232
12639,11/1/2023,318
12640,11/1/2023,23
12641,11/1/2023,198
12642,11/1/2023,305
12643,11/1/2023,431
12644,11/1/2023,382
12645,11/1/2023,30
12646,11/1/2023,96
12647,11/1/2023,88
12648,11/1/2023,145
12649,11/1/2023,23
12650,11/1/2023,290
12651,11/1/2023,189
12652,11/1/2023,247
12653,11/1/2023,203
12654,11/1/2023,341
12655,11/1/2023,328
12656,11/1/2023,251
12657,11/1/2023,102
12658,11/1/2023,348
12659,11/1/2023,292
12660,11/1/2023,30
12661,11/1/2023,124
12662,11/1/2023,70
12663,11/1/2023,38
12664,11/1/2023,326
12665,11/1/2023,324
12666,11/1/2023,116
12667,11/1/2023,402
12668,11/1/2023,158
12669,11/1/2023,439
12670,11/1/2023,212
12671,11/1/2023,284
12672,11/1/2023,304
12673,11/1/2023,34
12674,11/1/2023,302
12675,11/1/2023,195
12676,11/1/2023,228
12677,11/1/2023,174
12678,11/1/2023,193
12679,11/1/2023,283
12680,11/1/2023,96
12681,11/1/2023,190
12682,11/1/2023,76
12683,11/1/2023,158
12684,11/1/2023,72
12685,11/1/2023,109
12686,11/1/2023,227
12687,11/1/2023,267
12688,11/1/2023,371
12689,11/1/2023,168
12690,11/1/2023,245
12691,11/1/2023,308
12692,11/1/2023,205
12693,11/1/2023,151
12694,11/1/2023,172
12695,11/1/2023,12
12696,11/1/2023,369
12697,11/1/2023,262
12698,11/1/2023,236
12701,11/1/2023,195
12702,11/1/2023,192
12703,11/1/2023,235
12704,11/1/2023,56
12705,11/1/2023,301
12706,11/1/2023,251
12707,11/1/2023,33
12708,11/1/2023,159
12709,11/1/2023,53
12710,11/1/2023,108
12711,11/1/2023,64
12712,11/1/2023,168
12713,11/1/2023,254
12714,11/1/2023,328
12715,11/1/2023,48
12716,11/1/2023,95
12717,11/1/2023,10
12718,11/1/2023,480
12719,11/1/2023,160
12720,11/1/2023,352
12721,11/1/2023,349
12722,11/1/2023,112
12723,11/1/2023,350
12724,11/1/2023,43
12725,11/1/2023,244
12726,11/1/2023,219
12727,11/1/2023,236
12728,11/1/2023,247
12729,11/1/2023,72
12730,11/1/2023,418
12731,11/1/2023,15
12732,11/1/2023,94
12733,11/1/2023,211
12734,11/1/2023,13
12735,11/1/2023,73
12736,11/1/2023,317
12737,11/1/2023,45
12738,11/1/2023,297
12739,11/1/2023,299
12740,11/1/2023,39
12741,11/1/2023,185
12742,11/1/2023,159
12747,11/1/2023,227
12748,11/1/2023,210
12750,11/1/2023,253
12751,11/1/2023,11
12752,11/1/2023,269
12753,11/1/2023,402
12754,11/1/2023,212
12755,11/1/2023,47
12756,11/1/2023,67
12757,11/1/2023,85
12758,11/1/2023,116
12759,11/1/2023,123
12760,11/1/2023,387
12763,11/1/2023,106
12764,11/1/2023,261
12777,11/1/2023,287
12778,11/1/2023,105
12779,11/1/2023,66
12780,11/1/2023,28
12781,11/1/2023,248
12782,11/1/2023,319
12785,11/1/2023,379
12786,11/1/2023,18
12787,11/1/2023,271
12788,11/1/2023,85
12789,11/1/2023,292
12790,11/1/2023,85
12791,11/1/2023,118
12792,11/1/2023,272
12793,11/1/2023,47
12794,11/1/2023,339
12797,11/1/2023,324
12798,11/1/2023,180
12801,11/1/2023,194
12802,11/1/2023,239
12803,11/1/2023,28
12804,11/1/2023,180
12805,11/1/2023,176
12806,11/1/2023,269
12807,11/1/2023,229
12808,11/1/2023,359
12809,11/1/2023,368
12810,11/1/2023,73
12811,11/1/2023,60
12812,11/1/2023,274
12813,11/1/2023,220
12814,11/1/2023,249
12815,11/1/2023,366
12816,11/1/2023,42
12817,11/1/2023,91
12818,11/1/2023,162
12819,11/1/2023,319
12820,11/1/2023,264
12821,11/1/2023,289
12822,11/1/2023,115
12823,11/1/2023,408
12824,11/1/2023,331
12825,11/1/2023,37
12826,11/1/2023,442
12827,11/1/2023,239
12828,11/1/2023,279
12829,11/1/2023,8
12830,11/1/2023,111
12831,11/1/2023,163
12832,11/1/2023,124
12833,11/1/2023,337
12834,11/1/2023,230
12835,11/1/2023,387
12836,11/1/2023,247
12837,11/1/2023,255
12838,11/1/2023,213
12839,11/1/2023,375
12840,11/1/2023,190
12841,11/1/2023,345
12842,11/1/2023,179
12843,11/1/2023,73
12844,11/1/2023,301
12845,11/1/2023,411
12846,11/1/2023,224
12847,11/1/2023,250
12848,11/1/2023,206
12849,11/1/2023,97
12850,11/1/2023,333
12851,11/1/2023,134
12852,11/1/2023,10
12853,11/1/2023,147
12854,11/1/2023,259
12855,11/1/2023,404
12856,11/1/2023,284
12857,11/1/2023,269
12858,11/1/2023,101
12859,11/1/2023,339
12860,11/1/2023,336
12861,11/1/2023,44
12862,11/1/2023,109
12863,11/1/2023,343
12864,11/1/2023,330
12865,11/1/2023,135
12866,11/1/2023,236
12867,11/1/2023,366
12868,11/1/2023,45
12869,11/1/2023,137
12870,11/1/2023,237
12871,11/1/2023,256
12872,11/1/2023,4
12873,11/1/2023,305
12874,11/1/2023,133
12875,11/1/2023,312
12876,11/1/2023,198
12877,11/1/2023,211
12878,11/1/2023,124
12879,11/1/2023,243
12880,11/1/2023,81
12881,11/1/2023,63
12882,11/1/2023,201
12883,11/1/2023,279
12884,11/1/2023,295
12885,11/1/2023,360
12886,11/1/2023,21
12887,11/1/2023,305
12888,11/1/2023,195
12889,11/1/2023,203
12890,11/1/2023,179
12891,11/1/2023,110
12892,11/1/2023,208
12893,11/1/2023,274
12894,11/1/2023,17
12895,11/1/2023,275
12896,11/1/2023,76
12897,11/1/2023,371
12898,11/1/2023,304
12901,11/1/2023,129
12902,11/1/2023,56
12903,11/1/2023,179
12904,11/1/2023,162
12905,11/1/2023,208
12906,11/1/2023,239
12907,11/1/2023,272
12908,11/1/2023,191
12909,11/1/2023,223
12910,11/1/2023,248
12911,11/1/2023,463
12912,11/1/2023,81
12913,11/1/2023,352
12914,11/1/2023,231
12915,11/1/2023,261
12916,11/1/2023,284
12917,11/1/2023,173
12918,11/1/2023,51
12919,11/1/2023,157
12920,11/1/2023,151
12921,11/1/2023,42
12922,11/1/2023,48
12923,11/1/2023,216
12924,11/1/2023,70
12925,11/1/2023,92
12926,11/1/2023,155
12927,11/1/2023,137
12928,11/1/2023,185
12929,11/1/2023,338
12930,11/1/2023,301
12933,11/1/2023,176
12934,11/1/2023,277
12935,11/1/2023,179
12936,11/1/2023,231
12937,11/1/2023,33
12938,11/1/2023,42
12939,11/1/2023,386
12940,11/1/2023,111
12941,11/1/2023,306
12942,11/1/2023,237
12943,11/1/2023,11
12944,11/1/2023,192
12945,11/1/2023,362
12946,11/1/2023,144
12947,11/1/2023,122
12948,11/1/2023,82
12949,11/1/2023,296
12950,11/1/2023,308
12951,11/1/2023,325
12952,11/1/2023,80
12953,11/1/2023,369
12954,11/1/2023,9
12955,11/1/2023,96
12956,11/1/2023,184
12957,11/1/2023,283
12958,11/1/2023,126
12959,11/1/2023,357
12960,11/1/2023,97
12961,11/1/2023,203
12962,11/1/2023,58
12963,11/1/2023,261
12964,11/1/2023,275
12965,11/1/2023,258
12966,11/1/2023,115
12967,11/1/2023,202
12968,11/1/2023,371
12969,11/1/2023,246
12970,11/1/2023,126
12971,11/1/2023,178
12972,11/1/2023,53
12973,11/1/2023,161
12974,11/1/2023,93
12975,11/1/2023,294
12976,11/1/2023,28
12977,11/1/2023,91
12978,11/1/2023,420
12979,11/1/2023,311
